,budget,revenue,roi,rt,imdb,vote_average,critic_audience_gap,critic_average,audience_average,budget_adj,revenue_adj,roi_adj
budget,1.0,0.734,-0.115,0.05,0.158,0.153,-0.004,0.05,0.162,0.99,0.727,-0.115
revenue,0.734,1.0,0.154,0.181,0.28,0.287,0.111,0.178,0.295,0.738,0.994,0.154
roi,-0.115,0.154,1.0,0.113,0.069,0.097,0.115,0.112,0.085,-0.114,0.155,1.0
rt,0.05,0.181,0.113,1.0,0.753,0.656,0.959,0.988,0.74,0.033,0.172,0.113
imdb,0.158,0.28,0.069,0.753,1.0,0.842,0.535,0.763,0.969,0.158,0.28,0.069
vote_average,0.153,0.287,0.097,0.656,0.842,1.0,0.479,0.648,0.949,0.133,0.275,0.097
critic_audience_gap,-0.004,0.111,0.115,0.959,0.535,0.479,1.0,0.94,0.532,-0.025,0.1,0.115
critic_average,0.05,0.178,0.112,0.988,0.763,0.648,0.94,1.0,0.742,0.035,0.172,0.112
audience_average,0.162,0.295,0.085,0.74,0.969,0.949,0.532,0.742,1.0,0.153,0.289,0.085
budget_adj,0.99,0.738,-0.114,0.033,0.158,0.133,-0.025,0.035,0.153,1.0,0.744,-0.114
revenue_adj,0.727,0.994,0.155,0.172,0.28,0.275,0.1,0.172,0.289,0.744,1.0,0.155
roi_adj,-0.115,0.154,1.0,0.113,0.069,0.097,0.115,0.112,0.085,-0.114,0.155,1.0
