genres,revenue,roi,rt,imdb,critic_audience_gap,pro_vs_audience_gap,movie_count,roi_adj,revenue_adj,budget_adj
Adventure,394419605.29,3.22,60.12,65.1,-4.98,-8.39,455,3.22,506598438.64,150302877.0
Science Fiction,374610687.91,3.38,59.13,65.16,-6.04,-8.59,267,3.38,475178573.99,142943344.92
Animation,354266276.33,3.64,64.53,64.99,-0.46,-6.33,170,3.64,452606884.03,119587324.83
Family,304957572.83,3.44,60.5,63.47,-2.97,-8.3,262,3.44,389996984.13,111075072.05
Action,303306186.67,2.84,54.29,64.13,-9.84,-11.6,536,2.84,389610479.63,126979365.65
Fantasy,302600239.43,3.2,52.89,62.38,-9.48,-11.67,226,3.2,391898374.95,129647172.02
Comedy,162230665.35,3.58,57.96,63.41,-5.45,-8.29,636,3.58,207912995.73,62085978.58
Thriller,136637043.49,4.69,53.55,62.85,-9.31,-10.54,447,4.69,176962375.38,58217201.13
Crime,129618151.05,2.69,59.48,65.28,-5.81,-7.69,233,2.69,166748248.72,60250227.4
Music,122971624.26,3.13,62.46,63.05,-0.59,-6.65,61,3.13,157722895.15,51680547.93
War,118977998.9,2.39,65.81,69.9,-4.1,-7.09,42,2.39,154875092.24,64727811.55
Western,113793779.22,1.81,63.0,68.09,-5.09,-6.66,23,1.81,154883415.2,81828360.8
Romance,112487576.76,3.42,53.16,63.92,-10.77,-11.85,235,3.42,146485469.26,45112519.98
Mystery,104021490.05,5.46,57.29,63.31,-6.01,-7.87,146,5.46,132782561.65,46251577.97
History,103755078.99,3.29,73.41,70.51,2.89,-0.35,101,3.29,131272759.05,53132877.69
Horror,99476748.45,8.22,53.37,58.88,-5.51,-8.19,249,8.22,124342516.76,29335844.14
Drama,96639506.46,3.63,65.6,67.62,-2.03,-4.43,703,3.63,125899302.23,44520716.17
Documentary,30024273.11,4.52,60.53,58.58,1.95,-5.85,19,4.52,40713179.46,11349487.83
TV Movie,23600000.0,2.38,75.0,60.0,15.0,5.22,1,2.38,31189756.13,13083838.37
