tmdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,genres,imdb,rt,meta,year,month,roi,inflation_factor,budget_adj,revenue_adj,roi_adj,critic_average,audience_average,critic_audience_gap,pro_vs_audience_gap
299534,Avengers: Endgame,2019-04-24,356000000,2799439100,181,82.37,26990,Adventure,84.0,94.0,78.0,2019,4,7.86359297752809,1.247857035506706,444237104.64038736,3493299776.4075613,7.86359297752809,86.0,83.185,10.0,2.8149999999999977
76600,Avatar: The Way of Water,2022-12-14,350000000,2353096253,192,76.10000000000001,13128,Action,75.0,76.0,67.0,2022,12,6.723132151428572,1.1568841199999997,404909441.9999999,2722259687.9272017,6.723132151428572,71.5,75.55000000000001,1.0,-4.050000000000011
140607,Star Wars: The Force Awakens,2015-12-15,245000000,2068223624,136,72.55,20114,Adventure,77.0,93.0,80.0,2015,12,8.44172907755102,1.3229214356728949,324115751.7398592,2736097365.9546776,8.44172907755102,86.5,74.775,16.0,11.724999999999994
299536,Avengers: Infinity War,2018-04-25,300000000,2052415039,149,82.35,31197,Adventure,84.0,85.0,68.0,2018,4,6.841383463333333,1.2778056043588673,383341681.30766016,2622587439.304623,6.841383463333334,76.5,83.175,1.0,-6.674999999999997
634649,Spider-Man: No Way Home,2021-12-15,200000000,1921847111,148,79.37,21336,Action,82.0,93.0,71.0,2021,12,9.609235555,1.2112576736399998,242251534.72799996,2327852060.7616143,9.609235555,82.0,80.685,11.0,1.3149999999999977
1022789,Inside Out 2,2024-06-11,200000000,1698863816,97,75.5,6293,Animation,75.0,91.0,73.0,2024,6,8.49431908,1.029,205799999.99999997,1748130866.6639998,8.49431908,82.0,75.25,16.0,6.75
135397,Jurassic World,2015-06-06,150000000,1671537444,124,66.99,21134,Action,69.0,72.0,59.0,2015,6,11.14358296,1.3229214356728949,198438215.35093424,2211312715.197481,11.14358296,65.5,67.995,3.0,-2.4950000000000045
420818,The Lion King,2019-07-12,260000000,1662020819,118,71.0,10574,Adventure,68.0,52.0,55.0,2019,7,6.3923877653846155,1.247857035506706,324442829.2317436,2073964372.1477675,6.392387765384615,53.5,69.5,-16.0,-16.0
24428,The Avengers,2012-04-25,220000000,1518815515,143,78.72,34382,Science Fiction,80.0,91.0,69.0,2012,4,6.903706886363636,1.3928987408511062,306437722.98724335,2115556218.4286244,6.903706886363636,80.0,79.36,11.0,0.6400000000000006
168259,Furious 7,2015-04-01,190000000,1515400000,139,72.22,11038,Action,71.0,81.0,67.0,2015,4,7.975789473684211,1.3229214356728949,251355072.77785003,2004755143.6187048,7.97578947368421,74.0,71.61,10.0,2.3900000000000006
