year,revenue,roi,rt,imdb,critic_audience_gap,movie_count,roi_adj,revenue_adj,budget_adj
2010,158686913.12,3.66,51.94,63.48,-11.54,139,3.66,231757641.76,81660932.96
2011,162494649.6,4.25,53.94,63.17,-9.24,144,4.25,233581427.8,75676928.52
2012,179670975.35,4.19,54.51,64.34,-9.82,134,4.19,250263475.33,75456838.91
2013,172723808.4,3.77,56.03,65.0,-8.97,144,3.77,235638369.47,74011009.14
2014,186718276.46,5.11,50.38,63.83,-13.46,136,5.11,250965828.13,71223825.57
2015,199900671.65,3.73,58.68,65.48,-6.8,127,3.73,264452883.53,71820363.07
2016,169113544.49,3.62,55.55,64.27,-8.72,164,3.62,223500432.63,69134176.78
2017,209588246.88,4.53,59.09,64.45,-5.36,131,4.53,273437110.23,73035720.23
2018,196561403.26,4.85,56.94,63.73,-6.79,135,4.85,251167262.69,64293498.88
2019,242444035.06,4.91,60.92,64.68,-3.76,109,4.91,302535494.87,77291008.91
2020,77972068.25,1.86,58.58,61.82,-3.25,40,1.86,95577597.19,64623794.61
2021,155001879.88,2.19,63.85,63.81,0.04,72,2.19,187747216.43,86014435.55
2022,198254726.59,4.11,67.79,65.05,2.74,76,4.11,229357744.91,75581827.33
2023,197000214.87,4.39,65.33,63.98,1.35,89,4.39,211024463.16,81108866.42
2024,179421341.76,3.68,68.43,64.1,4.33,100,3.68,184624560.67,62340936.0
2025,156270485.32,2.48,71.62,65.7,5.92,71,2.48,156270485.32,64754929.58
